OpenDate, CloseDate, Ticker, Type, Status, Amount, Cost, Value, Growth
2022-04-08, 2022-04-11, IBM, buy, closed, 1.0, 127.73, 0.0, 0.0
2022-04-08, 2022-04-11, GOOG, buy, closed, 2.0, 5360.42, 0.0, 0.0
2022-04-08, null, AAPL, buy, open, 3.0, 510.27, 14.4, -2.82
2022-04-08, 2022-04-11, IBM, buy, closed, 1.0, 127.73, 0.0, 0.0
2022-04-08, 2022-04-11, GOOG, buy, closed, 2.0, 5360.42, 0.0, 0.0
2022-04-11, null, IBM, buy, open, 1.0, 126.37, -0.19, 0.15
2022-04-11, null, BTCUSD, buy, open, 1.0, 39527.45, -420.15, 1.06
2022-04-14, null, SPY, buy, open, 8.0, 3502.32, 3502.32, 0.0
